#id  @ time(ms)          message
21  749   0 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
5  752   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0005
21  752   HRPL: RPL started
29  753   new udp socket is registered
10  754   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
2  754   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0002
23  754   MAC 00:00:00:00:00:00:00:17 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 23.
5  755   Starting 'app-p2p-node'
26  756   HRPL: Init of IPv6 data structures, 30 neighbors 0 MAX_ROUTES 2 default routers 3 prefixes
29  757   I am in the receiving list
2  758   Starting 'app-p2p-node'
5  759   new udp socket is registered
21  760   HRPL: The Mode of operation is Non-Storing Mode With_HRPL
2  762   new udp socket is registered
5  763   I am in the receiving list
23  763   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
26  766   0 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
10  767   HRPL: Init of IPv6 data structures, 30 neighbors 0 MAX_ROUTES 2 default routers 3 prefixes
11  768   Rime started with address 0.0.0.0.0.0.0.11
26  768   HRPL: RPL started
21  770   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0015
21  773   Starting 'app-p2p-node'
23  776   HRPL: Init of IPv6 data structures, 30 neighbors 0 MAX_ROUTES 2 default routers 3 prefixes
26  776   HRPL: The Mode of operation is Non-Storing Mode With_HRPL
10  777   0 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
21  778   new udp socket is registered
10  779   HRPL: RPL started
11  782   MAC 00:00:00:00:00:00:00:0b Contiki-3.x-3343-gbc2e44581 started. Node id is set to 11.
21  782   I am node 21 in the sending list
23  786   0 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
26  787   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:001a
10  788   HRPL: The Mode of operation is Non-Storing Mode With_HRPL
23  788   HRPL: RPL started
26  790   Starting 'app-p2p-node'
11  791   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
26  794   new udp socket is registered
23  796   HRPL: The Mode of operation is Non-Storing Mode With_HRPL
10  798   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:000a
26  799   I am node 26 in the sending list
10  801   Starting 'app-p2p-node'
11  803   HRPL: Init of IPv6 data structures, 30 neighbors 0 MAX_ROUTES 2 default routers 3 prefixes
10  805   new udp socket is registered
23  807   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0017
10  809   I am in the receiving list
23  810   Starting 'app-p2p-node'
11  813   0 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
23  814   new udp socket is registered
11  816   HRPL: RPL started
23  819   I am node 23 in the sending list
11  824   HRPL: The Mode of operation is Non-Storing Mode With_HRPL
11  834   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:000b
11  838   Starting 'app-p2p-node'
11  842   new udp socket is registered
46  845   Rime started with address 0.0.0.0.0.0.0.46
11  847   I am node 11 in the sending list
46  859   MAC 00:00:00:00:00:00:00:2e Contiki-3.x-3343-gbc2e44581 started. Node id is set to 46.
28  864   Rime started with address 0.0.0.0.0.0.0.28
46  868   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
28  878   MAC 00:00:00:00:00:00:00:1c Contiki-3.x-3343-gbc2e44581 started. Node id is set to 28.
46  881   HRPL: Init of IPv6 data structures, 30 neighbors 0 MAX_ROUTES 2 default routers 3 prefixes
28  887   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
46  890   0 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
46  893   HRPL: RPL started
28  900   HRPL: Init of IPv6 data structures, 30 neighbors 0 MAX_ROUTES 2 default routers 3 prefixes
22  900   Rime started with address 0.0.0.0.0.0.0.22
46  901   HRPL: The Mode of operation is Non-Storing Mode With_HRPL
14  903   Rime started with address 0.0.0.0.0.0.0.14
4  904   Rime started with address 0.0.0.0.0.0.0.4
28  909   0 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
46  912   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:002e
28  912   HRPL: RPL started
22  914   MAC 00:00:00:00:00:00:00:16 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 22.
46  915   Starting 'app-p2p-node'
14  917   MAC 00:00:00:00:00:00:00:0e Contiki-3.x-3343-gbc2e44581 started. Node id is set to 14.
4  918   MAC 00:00:00:00:00:00:00:04 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 4.
46  919   new udp socket is registered
28  920   HRPL: The Mode of operation is Non-Storing Mode With_HRPL
22  923   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
