#id  @ time(ms)          message
16  430   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0010
19  431   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0013
13  431   RPL: The Mode of operation is Storng Mode
15  433   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:000f
24  433   RPL: The Mode of operation is Storng Mode
16  434   Starting 'app-p2p-node'
19  434   Starting 'app-p2p-node'
47  434   MAC 00:00:00:00:00:00:00:2f Contiki-3.x-3343-gbc2e44581 started. Node id is set to 47.
50  435   HRPL: Init of IPv6 data structures, 30 neighbors 20 MAX_ROUTES 2 default routers 3 prefixes
15  436   Starting 'app-p2p-node'
16  438   new udp socket is registered
19  438   new udp socket is registered
14  439   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:000e
15  440   new udp socket is registered
13  441   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:000d
19  442   I am in the receiving list
14  442   Starting 'app-p2p-node'
16  442   I am node 16 in the sending list
47  443   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
24  444   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0018
15  444   I am in the receiving list
13  445   Starting 'app-p2p-node'
50  445   20 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
14  446   new udp socket is registered
24  447   Starting 'app-p2p-node'
50  448   RPL: RPL started
13  449   new udp socket is registered
14  450   I am in the receiving list
24  451   new udp socket is registered
13  453   I am node 13 in the sending list
50  454   RPL: The Mode of operation is Storng Mode
20  454   Rime started with address 0.0.0.0.0.0.0.20
24  455   I am in the receiving list
47  456   HRPL: Init of IPv6 data structures, 30 neighbors 20 MAX_ROUTES 2 default routers 3 prefixes
40  457   Rime started with address 0.0.0.0.0.0.0.40
50  464   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0032
47  466   20 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
50  467   Starting 'app-p2p-node'
20  468   MAC 00:00:00:00:00:00:00:14 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 20.
47  468   RPL: RPL started
40  471   MAC 00:00:00:00:00:00:00:28 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 40.
50  471   new udp socket is registered
31  472   Rime started with address 0.0.0.0.0.0.0.31
47  474   RPL: The Mode of operation is Storng Mode
50  475   I am in the receiving list
20  477   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
40  480   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
47  484   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:002f
31  486   MAC 00:00:00:00:00:00:00:1f Contiki-3.x-3343-gbc2e44581 started. Node id is set to 31.
47  488   Starting 'app-p2p-node'
20  489   HRPL: Init of IPv6 data structures, 30 neighbors 20 MAX_ROUTES 2 default routers 3 prefixes
47  492   new udp socket is registered
40  493   HRPL: Init of IPv6 data structures, 30 neighbors 20 MAX_ROUTES 2 default routers 3 prefixes
31  494   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
47  496   I am node 47 in the sending list
17  498   Rime started with address 0.0.0.0.0.0.0.17
20  499   20 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
20  502   RPL: RPL started
40  503   20 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
40  505   RPL: RPL started
31  507   HRPL: Init of IPv6 data structures, 30 neighbors 20 MAX_ROUTES 2 default routers 3 prefixes
20  508   RPL: The Mode of operation is Storng Mode
40  511   RPL: The Mode of operation is Storng Mode
17  512   MAC 00:00:00:00:00:00:00:11 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 17.
31  517   20 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
20  518   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0014
31  520   RPL: RPL started
17  521   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
40  521   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0028
20  522   Starting 'app-p2p-node'
40  525   Starting 'app-p2p-node'
31  526   RPL: The Mode of operation is Storng Mode
20  526   new udp socket is registered
40  529   new udp socket is registered
20  529   I am in the receiving list
40  533   I am in the receiving list
17  534   HRPL: Init of IPv6 data structures, 30 neighbors 20 MAX_ROUTES 2 default routers 3 prefixes
31  536   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:001f
31  539   Starting 'app-p2p-node'
31  543   new udp socket is registered
17  544   20 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
17  546   RPL: RPL started
31  548   I am node 31 in the sending list
17  552   RPL: The Mode of operation is Storng Mode
37  560   Rime started with address 0.0.0.0.0.0.0.37
17  563   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0011
17  566   Starting 'app-p2p-node'
49  568   Rime started with address 0.0.0.0.0.0.0.49
17  570   new udp socket is registered
2  572   Rime started with address 0.0.0.0.0.0.0.2
37  574   MAC 00:00:00:00:00:00:00:25 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 37.
17  575   I am node 17 in the sending list
48  579   Rime started with address 0.0.0.0.0.0.0.48
49  582   MAC 00:00:00:00:00:00:00:31 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 49.
37  582   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
2  585   MAC 00:00:00:00:00:00:00:02 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 2.
49  590   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
48  593   MAC 00:00:00:00:00:00:00:30 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 48.
2  594   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
37  595   HRPL: Init of IPv6 data structures, 30 neighbors 20 MAX_ROUTES 2 default routers 3 prefixes
48  602   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
49  603   HRPL: Init of IPv6 data structures, 30 neighbors 20 MAX_ROUTES 2 default routers 3 prefixes
37  605   20 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
2  607   HRPL: Init of IPv6 data structures, 30 neighbors 20 MAX_ROUTES 2 default routers 3 prefixes
37  608   RPL: RPL started
49  613   20 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
37  614   RPL: The Mode of operation is Storng Mode
48  615   HRPL: Init of IPv6 data structures, 30 neighbors 20 MAX_ROUTES 2 default routers 3 prefixes
49  616   RPL: RPL started
2  617   20 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
44  618   Rime started with address 0.0.0.0.0.0.0.44
2  620   RPL: RPL started
49  622   RPL: The Mode of operation is Storng Mode
37  624   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0025
41  624   Rime started with address 0.0.0.0.0.0.0.41
48  625   20 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
2  625   RPL: The Mode of operation is Storng Mode
37  627   Starting 'app-p2p-node'
48  627   RPL: RPL started
37  631   new udp socket is registered
44  632   MAC 00:00:00:00:00:00:00:2c Contiki-3.x-3343-gbc2e44581 started. Node id is set to 44.
49  632   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0031
48  633   RPL: The Mode of operation is Storng Mode
49  636   Starting 'app-p2p-node'
2  636   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0002
37  636   I am node 37 in the sending list
41  638   MAC 00:00:00:00:00:00:00:29 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 41.
2  639   Starting 'app-p2p-node'
49  640   new udp socket is registered
44  640   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
2  643   new udp socket is registered
49  643   I am in the receiving list
48  644   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0030
48  647   Starting 'app-p2p-node'
41  647   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
48  651   new udp socket is registered
44  653   HRPL: Init of IPv6 data structures, 30 neighbors 20 MAX_ROUTES 2 default routers 3 prefixes
48  656   I am node 48 in the sending list
41  660   HRPL: Init of IPv6 data structures, 30 neighbors 20 MAX_ROUTES 2 default routers 3 prefixes
44  663   20 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
44  666   RPL: RPL started
41  670   20 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
44  672   RPL: The Mode of operation is Storng Mode
41  672   RPL: RPL started
41  678   RPL: The Mode of operation is Storng Mode
44  682   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:002c
44  685   Starting 'app-p2p-node'
41  689   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0029
44  690   new udp socket is registered
41  692   Starting 'app-p2p-node'
44  693   I am in the receiving list
9  696   Rime started with address 0.0.0.0.0.0.0.9
41  696   new udp socket is registered
3  698   Rime started with address 0.0.0.0.0.0.0.3
41  701   I am node 41 in the sending list
9  710   MAC 00:00:00:00:00:00:00:09 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 9.
3  712   MAC 00:00:00:00:00:00:00:03 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 3.
9  718   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
3  720   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
4  725   Rime started with address 0.0.0.0.0.0.0.4
9  731   HRPL: Init of IPv6 data structures, 30 neighbors 20 MAX_ROUTES 2 default routers 3 prefixes
3  733   HRPL: Init of IPv6 data structures, 30 neighbors 20 MAX_ROUTES 2 default routers 3 prefixes
4  739   MAC 00:00:00:00:00:00:00:04 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 4.
23  741   Rime started with address 0.0.0.0.0.0.0.23
9  741   20 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
3  743   20 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
9  744   RPL: RPL started
3  746   RPL: RPL started
4  748   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
9  750   RPL: The Mode of operation is Storng Mode
3  752   RPL: The Mode of operation is Storng Mode
23  755   MAC 00:00:00:00:00:00:00:17 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 23.
9  760   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0009
4  761   HRPL: Init of IPv6 data structures, 30 neighbors 20 MAX_ROUTES 2 default routers 3 prefixes
3  762   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0003
9  763   Starting 'app-p2p-node'
23  764   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
3  765   Starting 'app-p2p-node'
9  767   new udp socket is registered
3  769   new udp socket is registered
4  771   20 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
9  771   I am in the receiving list
4  773   RPL: RPL started
23  776   HRPL: Init of IPv6 data structures, 30 neighbors 20 MAX_ROUTES 2 default routers 3 prefixes
28  779   Rime started with address 0.0.0.0.0.0.0.28
4  779   RPL: The Mode of operation is Storng Mode
27  786   Rime started with address 0.0.0.0.0.0.0.27
23  786   20 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
23  789   RPL: RPL started
4  789   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0004
4  793   Starting 'app-p2p-node'
28  793   MAC 00:00:00:00:00:00:00:1c Contiki-3.x-3343-gbc2e44581 started. Node id is set to 28.
25  794   Rime started with address 0.0.0.0.0.0.0.25
33  794   Rime started with address 0.0.0.0.0.0.0.33
23  795   RPL: The Mode of operation is Storng Mode
4  797   new udp socket is registered
27  800   MAC 00:00:00:00:00:00:00:1b Contiki-3.x-3343-gbc2e44581 started. Node id is set to 27.
4  801   I am in the receiving list
28  801   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
23  805   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0017
25  808   MAC 00:00:00:00:00:00:00:19 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 25.
33  808   MAC 00:00:00:00:00:00:00:21 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 33.
23  809   Starting 'app-p2p-node'
27  809   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
23  813   new udp socket is registered
34  814   Rime started with address 0.0.0.0.0.0.0.34
28  814   HRPL: Init of IPv6 data structures, 30 neighbors 20 MAX_ROUTES 2 default routers 3 prefixes
42  815   Rime started with address 0.0.0.0.0.0.0.42
25  817   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
33  817   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
23  817   I am node 23 in the sending list
27  822   HRPL: Init of IPv6 data structures, 30 neighbors 20 MAX_ROUTES 2 default routers 3 prefixes
28  824   20 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
28  827   RPL: RPL started
34  828   MAC 00:00:00:00:00:00:00:22 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 34.
42  829   MAC 00:00:00:00:00:00:00:2a Contiki-3.x-3343-gbc2e44581 started. Node id is set to 42.
25  830   HRPL: Init of IPv6 data structures, 30 neighbors 20 MAX_ROUTES 2 default routers 3 prefixes
33  830   HRPL: Init of IPv6 data structures, 30 neighbors 20 MAX_ROUTES 2 default routers 3 prefixes
27  832   20 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
28  833   RPL: The Mode of operation is Storng Mode
27  834   RPL: RPL started
34  836   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
42  837   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
7  838   Rime started with address 0.0.0.0.0.0.0.7
25  840   20 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
33  840   20 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
27  840   RPL: The Mode of operation is Storng Mode
25  842   RPL: RPL started
33  842   RPL: RPL started
28  843   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:001c
28  847   Starting 'app-p2p-node'
25  848   RPL: The Mode of operation is Storng Mode
33  848   RPL: The Mode of operation is Storng Mode
34  849   HRPL: Init of IPv6 data structures, 30 neighbors 20 MAX_ROUTES 2 default routers 3 prefixes
42  850   HRPL: Init of IPv6 data structures, 30 neighbors 20 MAX_ROUTES 2 default routers 3 prefixes
27  851   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:001b
28  851   new udp socket is registered
7  852   MAC 00:00:00:00:00:00:00:07 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 7.
27  854   Starting 'app-p2p-node'
28  855   I am node 28 in the sending list
27  858   new udp socket is registered
25  858   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0019
33  858   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0021
34  859   20 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
42  860   20 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
7  861   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
25  862   Starting 'app-p2p-node'
33  862   Starting 'app-p2p-node'
34  862   RPL: RPL started
27  863   I am node 27 in the sending list
42  863   RPL: RPL started
25  866   new udp socket is registered
33  866   new udp socket is registered
34  868   RPL: The Mode of operation is Storng Mode
42  869   RPL: The Mode of operation is Storng Mode
25  870   I am in the receiving list
33  871   I am node 33 in the sending list
7  873   HRPL: Init of IPv6 data structures, 30 neighbors 20 MAX_ROUTES 2 default routers 3 prefixes
21  877   Rime started with address 0.0.0.0.0.0.0.21
34  878   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0022
42  879   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:002a
34  881   Starting 'app-p2p-node'
42  882   Starting 'app-p2p-node'
7  883   20 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
32  885   Rime started with address 0.0.0.0.0.0.0.32
34  886   new udp socket is registered
7  886   RPL: RPL started
42  887   new udp socket is registered
